
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# Contour 0, label:      7.5
 10.9388 -1.82143  7.5 
 10.9286 -1.962  7.5 
 10.7846 -3.64286  7.5 
 10.4525 -5.46429  7.5 
 9.9469 -7.28571  7.5 
 9.26757 -9.10714  7.5 
 9.10714 -9.45192  7.5 
 8.26171 -10.9286  7.5 
 7.28571 -12.3424  7.5 
 6.91875 -12.75  7.5 
 5.46429 -14.1407  7.5 
 4.81227 -14.5714  7.5 
 3.64286 -15.2531  7.5 
 1.82143 -15.8263  7.5 
 7.44738e-13 -15.8947  7.5 
-1.82143 -15.4448  7.5 
-3.52104 -14.5714  7.5 
-3.64286 -14.5022  7.5 
-5.46429 -12.9693  7.5 
-5.66318 -12.75  7.5 
-7.1527 -10.9286  7.5 
-7.28571 -10.7451  7.5 
-8.24995 -9.10714  7.5 
-9.10714 -7.43144  7.5 
-9.17026 -7.28571  7.5 
-9.82642 -5.46429  7.5 
-10.3458 -3.64286  7.5 
-10.7149 -1.82143  7.5 
-10.9177  7.44738e-13  7.5 
-10.9286  0.818799  7.5 
-10.9401  1.82143  7.5 
-10.9286  1.9795  7.5 
-10.786  3.64286  7.5 
-10.4536  5.46429  7.5 
-9.94762  7.28571  7.5 
-9.2679  9.10714  7.5 
-9.10714  9.45247  7.5 
-8.2616  10.9286  7.5 
-7.28571  12.3418  7.5 
-6.918  12.75  7.5 
-5.46429  14.1395  7.5 
-4.81006  14.5714  7.5 
-3.64286  15.2515  7.5 
-1.82143  15.8239  7.5 
 7.44738e-13  15.8914  7.5 
 1.82143  15.4408  7.5 
 3.51297  14.5714  7.5 
 3.64286  14.4976  7.5 
 5.46429  12.9656  7.5 
 5.66009  12.75  7.5 
 7.15091  10.9286  7.5 
 7.28571  10.7427  7.5 
 8.24933  9.10714  7.5 
 9.10714  7.43085  7.5 
 9.17003  7.28571  7.5 
 9.82617  5.46429  7.5 
 10.3452  3.64286  7.5 
 10.7139  1.82143  7.5 
 10.9163  7.44738e-13  7.5 
 10.9286 -0.927139  7.5 
 10.9388 -1.82143  7.5 


# Contour 1, label:        5
-106.04  123.857  5 
-105.898  122.036  5 
-105.838  120.214  5 
-105.876  118.393  5 
-105.999  116.571  5 
-106.197  114.75  5 
-106.464  112.929  5 
-106.796  111.107  5 
-107.191  109.286  5 

-107.191  109.286  5 
-107.464  108.197  5 
-107.666  107.464  5 
-108.239  105.643  5 
-108.882  103.821  5 
-109.286  102.777  5 
-109.619  102  5 
-110.456  100.179  5 
-111.107  98.8319  5 
-111.368  98.3571  5 
-112.407  96.5357  5 
-112.929  95.6425  5 
-113.564  94.7143  5 
-114.75  93.0087  5 
-114.848  92.8929  5 
-116.402  91.0714  5 
-116.571  90.8733  5 
-118.38  89.25  5 
-118.393  89.2382  5 
-120.214  88.1353  5 
-122.036  87.5747  5 
-123.857  87.5308  5 
-125.679  87.986  5 
-127.5  88.9208  5 
-127.929  89.25  5 
-129.321  90.3027  5 
-130.092  91.0714  5 
-131.143  92.1167  5 
-131.773  92.8929  5 
-132.964  94.3696  5 
-133.199  94.7143  5 
-134.423  96.5357  5 
-134.786  97.0849  5 
-135.517  98.3571  5 
-136.533  100.179  5 
-136.607  100.318  5 
-137.405  102  5 
-138.208  103.821  5 
-138.429  104.374  5 
-138.893  105.643  5 
-139.488  107.464  5 
-140.011  109.286  5 
-140.25  110.255  5 
-140.446  111.107  5 
-140.792  112.929  5 
-141.061  114.75  5 
-141.248  116.571  5 
-141.348  118.393  5 
-141.356  120.214  5 
-141.272  122.036  5 
-141.094  123.857  5 
-140.828  125.679  5 
-140.478  127.5  5 
-140.25  128.461  5 
-140.031  129.321  5 
-139.486  131.143  5 
-138.861  132.964  5 
-138.429  134.082  5 
-138.132  134.786  5 
-137.277  136.607  5 
-136.607  137.909  5 
-136.309  138.429  5 
-135.192  140.25  5 
-134.786  140.881  5 
-133.916  142.071  5 
-132.964  143.332  5 
-132.47  143.893  5 
-131.143  145.365  5 
-130.762  145.714  5 
-129.321  147.015  5 
-128.587  147.536  5 
-127.5  148.302  5 
-125.679  149.228  5 
-125.25  149.357  5 
-123.857  149.777  5 
-122.036  149.925  5 
-120.214  149.639  5 
-119.539  149.357  5 
-118.393  148.864  5 
-116.571  147.604  5 
-116.499  147.536  5 
-114.75  145.85  5 
-114.638  145.714  5 
-113.179  143.893  5 
-112.929  143.569  5 
-111.962  142.071  5 
-111.107  140.68  5 
-110.878  140.25  5 
-109.962  138.429  5 
-109.286  136.982  5 
-109.13  136.607  5 
-108.438  134.786  5 
-107.825  132.964  5 
-107.464  131.735  5 
-107.307  131.143  5 
-106.891  129.321  5 
-106.54  127.5  5 
-106.255  125.679  5 
-106.04  123.857  5 

-100.179 -117.89  5 
-100.135 -118.393  5 
-100.066 -120.214  5 
-100.087 -122.036  5 

-100.087 -122.036  5 
-100.179 -123.573  5 
-100.197 -123.857  5 
-100.405 -125.679  5 
-100.697 -127.5  5 
-101.07 -129.321  5 
-101.519 -131.143  5 
-102 -132.811  5 
-102.049 -132.964  5 
-102.715 -134.786  5 
-103.474 -136.607  5 
-103.821 -137.356  5 
-104.386 -138.429  5 
-105.413 -140.25  5 
-105.643 -140.638  5 
-106.624 -142.071  5 
-107.464 -143.259  5 
-107.997 -143.893  5 
-109.286 -145.387  5 
-109.636 -145.714  5 
-111.107 -147.068  5 
-111.774 -147.536  5 
-112.929 -148.338  5 
-114.75 -149.209  5 
-115.336 -149.357  5 
-116.571 -149.669  5 
-118.393 -149.702  5 
-119.871 -149.357  5 
-120.214 -149.274  5 
-122.036 -148.335  5 
-123.071 -147.536  5 
-123.857 -146.912  5 
-125.006 -145.714  5 
-125.679 -144.99  5 
-126.51 -143.893  5 
-127.5 -142.527  5 
-127.782 -142.071  5 
-128.851 -140.25  5 
-129.321 -139.392  5 
-129.788 -138.429  5 
-130.599 -136.607  5 
-131.143 -135.249  5 
-131.311 -134.786  5 
-131.892 -132.964  5 
-132.389 -131.143  5 
-132.802 -129.321  5 
-132.964 -128.432  5 
-133.121 -127.5  5 
-133.351 -125.679  5 
-133.502 -123.857  5 
-133.569 -122.036  5 
-133.546 -120.214  5 
-133.426 -118.393  5 
-133.217 -116.571  5 
-132.964 -114.987  5 
-132.924 -114.75  5 
-132.529 -112.929  5 
-132.058 -111.107  5 
-131.515 -109.286  5 
-131.143 -108.18  5 
-130.879 -107.464  5 
-130.134 -105.643  5 
-129.321 -103.825  5 
-128.345 -102  5 
-127.5 -100.508  5 
-127.286 -100.179  5 
-126.054 -98.3571  5 
-125.679 -97.8172  5 
-124.617 -96.5357  5 
-123.857 -95.6307  5 
-122.89 -94.7143  5 
-122.036 -93.9054  5 
-120.566 -92.8929  5 
-120.214 -92.6495  5 
-118.393 -91.8937  5 
-116.571 -91.6481  5 
-114.75 -91.8953  5 
-112.929 -92.6248  5 
-112.524 -92.8929  5 
-111.107 -93.8304  5 
-110.149 -94.7143  5 
-109.286 -95.5159  5 
-108.428 -96.5357  5 
-107.464 -97.6961  5 
-107.012 -98.3571  5 
-105.791 -100.179  5 
-105.643 -100.408  5 
-104.764 -102  5 
-103.821 -103.807  5 
-103.815 -103.821  5 
-103.058 -105.643  5 
-102.379 -107.464  5 
-102 -108.604  5 
-101.795 -109.286  5 
-101.313 -111.107  5 
-100.9 -112.929  5 
-100.56 -114.75  5 
-100.302 -116.571  5 
-100.179 -117.89  5 

-125.679  41.5085  5 
-124.619  41.8929  5 
-123.857  42.1814  5 
-122.036  42.4053  5 
-120.214  42.1573  5 
-119.545  41.8929  5 
-118.393  41.4653  5 
-116.571  40.3667  5 
-116.214  40.0714  5 
-114.75  38.9251  5 
-114.065  38.25  5 
-112.929  37.1744  5 
-112.27  36.4286  5 
-111.107  35.1499  5 
-110.68  34.6071  5 
-109.286  32.8725  5 
-109.224  32.7857  5 
-107.909  30.9643  5 
-107.464  30.3483  5 
-106.678  29.1429  5 
-105.643  27.5392  5 
-105.514  27.3214  5 
-104.45  25.5  5 
-103.821  24.406  5 
-103.432  23.6786  5 
-102.48  21.8571  5 
-102  20.9087  5 
-101.584  20.0357  5 
-100.755  18.2143  5 
-100.179  16.8654  5 
-99.9857  16.3929  5 
-99.2952  14.5714  5 
-98.662  12.75  5 
-98.3571  11.7843  5 
-98.0963  10.9286  5 
-97.5999  9.10714  5 
-97.165  7.28571  5 
-96.7942  5.46429  5 
-96.5357  3.91249  5 
-96.4921  3.64286  5 
-96.2655  1.82143  5 
-96.1101  7.44738e-13  5 
-96.0267 -1.82143  5 
-96.0143 -3.64286  5 
-96.0706 -5.46429  5 
-96.1932 -7.28571  5 
-96.3803 -9.10714  5 

-96.3803 -9.10714  5 
-96.5357 -10.2381  5 
-96.6342 -10.9286  5 
-96.9591 -12.75  5 
-97.3493 -14.5714  5 
-97.8039 -16.3929  5 
-98.3201 -18.2143  5 
-98.3571 -18.3326  5 
-98.9225 -20.0357  5 
-99.5815 -21.8571  5 
-100.179 -23.399  5 
-100.296 -23.6786  5 
-101.098 -25.5  5 
-101.94 -27.3214  5 
-102 -27.4464  5 
-102.898 -29.1429  5 
-103.821 -30.8087  5 
-103.92 -30.9643  5 
-105.116 -32.7857  5 
-105.643 -33.5734  5 
-106.453 -34.6071  5 
-107.464 -35.898  5 
-107.967 -36.4286  5 
-109.286 -37.8332  5 
-109.783 -38.25  5 
-111.107 -39.3788  5 
-112.228 -40.0714  5 
-112.929 -40.5167  5 
-114.75 -41.2424  5 
-116.571 -41.5401  5 
-118.393 -41.4156  5 
-120.214 -40.8723  5 
-121.746 -40.0714  5 
-122.036 -39.9272  5 
-123.857 -38.6429  5 
-124.293 -38.25  5 
-125.679 -37.0444  5 
-126.265 -36.4286  5 
-127.5 -35.1619  5 
-127.966 -34.6071  5 
-129.321 -33.0171  5 
-129.497 -32.7857  5 
-130.883 -30.9643  5 
-131.143 -30.6225  5 
-132.163 -29.1429  5 
-132.964 -27.9714  5 
-133.374 -27.3214  5 
-134.505 -25.5  5 
-134.786 -25.0393  5 
-135.56 -23.6786  5 
-136.568 -21.8571  5 
-136.607 -21.7831  5 
