
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# IsoCurve 0, 35 points
# x y z type
 255 -255  4.6959 o
 255 -240  4.92124 o
 255 -225  4.69492 o
 255 -210  4.16187 o
 255 -195  3.67349 o
 255 -180  3.55136 o
 255 -165  3.89922 o
 255 -150  4.55099 o
 255 -135  5.16204 o
 255 -120  5.38807 o
 255 -105  5.12012 o
 255 -90  4.55193 o
 255 -75  4.06258 o
 255 -60  3.98141 o
 255 -45  4.40591 o
 255 -30  5.1366 o
 255 -15  5.77653 o
 255  0  5.96292 o
 255  15  5.5761 o
 255  30  4.80532 o
 255  45  4.03805 o
 255  60  3.62987 o
 255  75  3.71712 o
 255  90  4.17675 o
 255  105  4.6959 o
 255  120  4.92124 o
 255  135  4.69492 o
 255  150  4.16187 o
 255  165  3.67349 o
 255  180  3.55136 o
 255  195  3.89922 o
 255  210  4.55099 o
 255  225  5.16204 o
 255  240  5.38807 o
 255  255  5.12012 o

# IsoCurve 1, 35 points
# x y z type
 240 -255  5.61138 o
 240 -240  5.84165 o
 240 -225  5.58477 o
 240 -210  4.98141 o
 240 -195  4.38808 o
 240 -180  4.14732 o
 240 -165  4.39185 o
 240 -150  4.97263 o
 240 -135  5.53972 o
 240 -120  5.74448 o
 240 -105  5.46671 o
 240 -90  4.90126 o
 240 -75  4.42194 o
 240 -60  4.3538 o
 240 -45  4.8068 o
 240 -30  5.60404 o
 240 -15  6.34881 o
 240  0  6.64927 o
 240  15  6.35184 o
 240  30  5.62789 o
 240  45  4.87325 o
 240  60  4.47123 o
 240  75  4.57813 o
 240  90  5.06842 o
 240  105  5.61138 o
 240  120  5.84165 o
 240  135  5.58477 o
 240  150  4.98141 o
 240  165  4.38808 o
 240  180  4.14732 o
 240  195  4.39185 o
 240  210  4.97263 o
 240  225  5.53972 o
 240  240  5.74448 o
 240  255  5.46671 o

# IsoCurve 2, 35 points
# x y z type
 225 -255  5.26322 o
 225 -240  5.48857 o
 225 -225  5.21339 o
 225 -210  4.57434 o
 225 -195  3.91688 o
 225 -180  3.58056 o
 225 -165  3.71491 o
 225 -150  4.19891 o
 225 -135  4.70171 o
 225 -120  4.87687 o
 225 -105  4.59558 o
 225 -90  4.03956 o
 225 -75  3.56645 o
 225 -60  3.48726 o
 225 -45  3.91486 o
 225 -30  4.70146 o
 225 -15  5.48254 o
 225  0  5.87175 o
 225  15  5.69332 o
 225  30  5.08312 o
 225  45  4.40943 o
 225  60  4.05545 o
 225  75  4.19478 o
 225  90  4.70846 o
 225  105  5.26322 o
 225  120  5.48857 o
 225  135  5.21339 o
 225  150  4.57434 o
 225  165  3.91688 o
 225  180  3.58056 o
 225  195  3.71491 o
 225  210  4.19891 o
 225  225  4.70171 o
 225  240  4.87687 o
 225  255  4.59558 o

# IsoCurve 3, 35 points
# x y z type
 210 -255  3.93246 o
 210 -240  4.16552 o
 210 -225  3.90888 o
 210 -210  3.29503 o
 210 -195  2.65022 o
 210 -180  2.2942 o
 210 -165  2.37466 o
 210 -150  2.79192 o
 210 -135  3.24412 o
 210 -120  3.40036 o
 210 -105  3.12557 o
 210 -90  2.58235 o
 210 -75  2.10969 o
 210 -60  2.00272 o
 210 -45  2.37637 o
 210 -30  3.09797 o
 210 -15  3.83292 o
 210  0  4.21759 o
 210  15  4.08218 o
 210  30  3.55088 o
 210  45  2.96246 o
 210  60  2.67122 o
 210  75  2.84475 o
 210  90  3.37331 o
 210  105  3.93246 o
 210  120  4.16552 o
 210  135  3.90888 o
 210  150  3.29503 o
 210  165  2.65022 o
 210  180  2.2942 o
 210  195  2.37466 o
 210  210  2.79192 o
 210  225  3.24412 o
 210  240  3.40036 o
 210  255  3.12557 o

# IsoCurve 4, 35 points
# x y z type
 195 -255  2.45878 o
 195 -240  2.70788 o
 195 -225  2.49504 o
 195 -210  1.94923 o
 195 -195  1.37984 o
 195 -180  1.08342 o
 195 -165  1.19128 o
 195 -150  1.60663 o
 195 -135  2.04732 o
 195 -120  2.20115 o
 195 -105  1.93403 o
 195 -90  1.39486 o
 195 -75  0.910332 o
 195 -60  0.769474 o
 195 -45  1.08623 o
 195 -30  1.73384 o
 195 -15  2.39129 o
 195  0  2.71208 o
 195  15  2.5402 o
 195  30  2.00817 o
 195  45  1.44777 o
 195  60  1.18789 o
 195  75  1.37514 o
 195  90  1.90151 o
 195  105  2.45878 o
 195  120  2.70788 o
 195  135  2.49504 o
 195  150  1.94923 o
 195  165  1.37984 o
 195  180  1.08342 o
 195  195  1.19128 o
 195  210  1.60663 o
 195  225  2.04732 o
 195  240  2.20115 o
 195  255  1.93403 o

# IsoCurve 5, 35 points
# x y z type
 180 -255  1.66197 o
 180 -240  1.92281 o
 180 -225  1.75011 o
 180 -210  1.27364 o
 180 -195  0.796823 o
 180 -180  0.600988 i
 180 -165  0.796789 i
 180 -150  1.27352 i
 180 -135  1.74989 i
 180 -120  1.9226 i
 180 -105  1.66198 i
 180 -90  1.11494 i
 180 -75  0.607339 i
 180 -60  0.434582 i
 180 -45  0.708084 i
 180 -30  1.29643 i
 180 -15  1.88067 i
 180  0  2.12366 i
 180  15  1.88081 i
 180  30  1.29649 i
 180  45  0.708151 i
 180  60  0.43458 i
 180  75  0.606626 i
 180  90  1.1146 i
 180  105  1.66197 i
 180  120  1.92281 i
 180  135  1.75011 i
 180  150  1.27364 i
 180  165  0.796823 i
 180  180  0.600988 i
 180  195  0.796789 o
